title,id,grant_ref,status,grant_category,funder,grant_offer,lead_org,start_date,end_date,staff_members,roles,abstract,tags
The Politics of Science in International Climate Cooperation,0AC1B992-A9A9-4364-BA80-7E69850F616A,ES/W001373/1,Closed,Research Grant,ESRC,499935,University of Strathclyde,2022-01-01,2023-04-29,Patrick Bayer,Patrick Bayer (PI),"International climate talks in Katowice, Poland, in 2018 descended into acrimony over a scientific landmark report by the most authoritative international body on climate science, the Intergovernmental Panel on Climate Change (IPCC). Saudi Arabia, Kuwait, Russia, and the United States--four big oil and gas producers--refused to endorse an IPCC special report. This report stated that limiting global warming to 1.5C reduces climate-related risks, but requires deep emission reductions in all sectors. Since these reductions are costly, governments may have political incentives to try to influence how these reports are written and used. We study how and under what conditions governments seek to influence the production of science in the IPCC; and the effects of this attempted influence on climate negotiations and domestic climate policymaking.

Our research comes at a vital moment for international climate politics. In order to meet the 1.5C-2C temperature target agreed in the Paris Agreement in 2015, countries need to increase their climate action. As the pressure to decarbonise the global economy mounts, the IPCC's forthcoming Sixth Assessment Report in 2022 will provide states with the latest knowledge on the scientific basis; impacts, adaptation, and vulnerability; and mitigation of climate change. The key findings from this comprehensive assessment will serve as scientific input to United Nations climate negotiations and guide governments' climate policies for the decade to come. Despite its key role, the IPCC's 6-8 year assessment cycles have come under repeated criticism for different reasons. Our systematic study of countries' engagement with IPCC processes will hence contribute to the practical and scholarly discussion on how the IPCC can best fulfil its mandate of being policy-relevant in the new climate landscape the Paris Agreement has created.

In this unique context, we will offer new theoretical and empirical insights into the strategies, conditions, and effects of attempted government influence in international climate science policy. The theoretical framework, which we will develop, will allow us to analyse governments' strategic involvement in the production of IPCC reports and their uptake in climate policymaking. While &quot;interference&quot; and &quot;obstruction&quot; at both stages is documented in the literature, our framework will help us to hypothesise how, when, and with what effects governments seek influence in the global climate science-policy interface. Our systematic empirical analysis will benefit from a mixed methods approach. We will combine qualitative and quantitative methods, including elite interviews; participant observation; comparative case studies; document analysis; regression models; and text-as-data approaches. This multifaceted approach will enrich our empirical understanding of government influence in the IPCC and will help us to overcome the methodological challenge that government influence is not always readily observable.

Together with our advisory board, which includes senior IPCC leadership and assessment authors, and through partnerships with leading climate research institutes--CICERO (Center for International Climate Research) in Norway; PIK (Potsdam Institute for Climate Impact Research) in Germany; Cardiff University's Centre for Climate Change and Social Transformations (CAST); and the Tyndall Centre for Climate Change Research in the UK--we intend to create impact from translating our research findings into feasible and implementable proposals to inform ongoing discussions about IPCC reform. We will furthermore present our findings at the United Nations climate conference in winter 2023 and, over the course of the project, disseminate our research to a wider audience through blog posts, podcasts, and on social media.",Environment & Sustainability; Governance & Policy; Data & Digital
The Productivity Institute,33DCB61E-5287-411B-B1B9-5569CED711E8,ES/V002740/1,Closed,Research Grant,SPF,26621454,University of Manchester,2020-08-31,2027-03-30,Bridgette Wessels,Bridgette Wessels (Co-I),"Summary continued: 

The Productivity Institute will be led by the University of Manchester (UoM), whose Alliance Manchester Business School will act as its headquarters. The Productivity Institute will include eight partner institutions across the country: University of Glasgow, University of Sheffield, University of Cambridge, King's College London, Queen's University Belfast, Cardiff University, University of Warwick, and the National Institute of Social and Economic Research. NIESR will coordinate The Productivity Institute's policy outreach as well as establish and lead a national Policy Reform Group. In recognition of the uneven nature of the productivity puzzle across regions and sectors, The Productivity Institute will build capacity throughout the UK by establishing eight Regional Productivity Forums which will act as local focal points to engage our target users, scope their needs and challenges, and understand where The Productivity Institute can add value. These Forums will be supported by experts from the participating universities.",Governance & Policy; Economy & Development
The Religious and Spiritual Lives of Transnational Young People of African Migrant Background,98065E5C-B5DE-41D9-9AD3-E96C398AF0BA,ES/X002276/1,Active,Research Grant,ESRC,758460,University of Glasgow,2023-05-14,2026-12-14,Dominic Pasura; Tinashe Nyamunda,Dominic Pasura (PI); Tinashe Nyamunda (Co-I),"The role of religion in the construction of youth identities and belonging, especially those of migrant background, is often the subject of policy and public concern across Europe and Africa. Major international events such as the terrorist attacks on 11 September 2001 in the USA and the London bombings of 7 July 2005, and the growing interest from academics and policy makers, have brought religion to the fore from the confines of the private sphere. Research on migrant religions indicates that in Europe, unlike in the United States, religion and Islam in particular is considered a barrier rather than a bridge to integration. Within the context of the rise of religious extremism and public debates about migration-related diversity and security, our focus on transnational young people of African migrant background directly responds to these policy issues and debates. Previous research and existing policy discourses tend to adopt a binary approach to the movement and identities of young people of migrant background in terms of 'first- and second-generation' or 'left-behind', host or home, Global North or Global South. Meanwhile, the experiences and perspectives of young people of African migrant background themselves remain little understood.

This project aims to analyse the role of religion and spirituality in constructing youth identities and a sense of belonging among transnational young people (aged 15-35) of Nigerian and Zimbabwean migrant backgrounds in London and Birmingham (UK), Lagos (Nigeria), Harare (Zimbabwe) and Johannesburg (South Africa). We will investigate young people categorised as 'first- and second-generation' and 'left behind', combining migrant-origin and migrant-receiving countries. In doing so, the project will advance our knowledge of the ways migration impacts young people's religious and spiritual lives at home and abroad. 

The project will generate important new academic insights through its synthesis of theoretical perspectives on transnationalism, the mobility turn and lived religion. It will make two distinctive contributions to the field of religion and migration by: (1) going beyond previous research and existing policy discourses that adopt a binary approach to movement and identities of young people of migrant background primarily in terms of 'first- and second-generation' or 'left-behind', Global North or Global South in order to emphasise the multi-directional movements of young people, ideas and religious practices; (2) shifting away from the dominant focus on organised religion towards a focus on 'lived religion' which allows for an exploration of young people's everyday practices and identities.

The project brings together international scholars and key stakeholders interested in the study of religion and migration between the UK and Africa. The fieldwork sites include four countries (the responsible institution in brackets): United Kingdom (University of Glasgow), Nigeria (University of Calabar), Zimbabwe (University of Zimbabwe) and South Africa (University of Pretoria) and five cities: London, Birmingham, Harare, Johannesburg and Lagos. The study will focus on young people living in urban neighbourhoods and practitioners of Christian, Muslim and African Indigenous Religions faiths.

In contexts of increasing migration-related diversity, where polarisation in society over religious diversity is growing, the project will shed light on how religion and migration have affected the identities and sense of belonging of young people of African migrant backgrounds in order to contribute to building bridges, informing debates and defusing contestation with the insertion of research-based insights. This study will add value to the existing efforts by creating in-depth knowledge on migration and religion, using its findings to understand better transnational migration processes and the social cohesion of the increasingly multi-religious and multi-cultural UK and African societies.",Migration & Citizenship; Culture & Heritage; Governance & Policy
"The appropriateness, usefulness and impact of the current urban planning curriculum in South African Higher Education",40CF2C52-B395-44A1-BDB9-20989F0BFC3B,ES/P00198X/2,Closed,Research Grant,ESRC,46906,UNIVERSITY COLLEGE LONDON,2020-01-01,2020-12-31,David Adams,David Adams (Co-I),"International institutions such as the United Nations have highlighted the significance of planning as a discipline in promoting more sustainable environments and dealing with the core economic, social and environmental challenges faced by Africa. Delivering successful urban planning training in SA Higher Education will thus make a key contribution to addressing SA national Government priorities around equity, social justice and democracy.

For many years post-colonial and post-apartheid SA has modelled its urban planning practices on Western systems which has been reflected in HE curricula. Concerns have been raised about the relevance and applicability of these Western theories and methods when planning African cities (Watson, 2003, 2009). To date, there has been little or no sustained work that brings together post-colonial and Southern debate theories with an examination of transferring northern planning theories to South Africa. Major uncertainties remain about HE and the appropriateness, usefulness and impact of planning curricula in the last 10 years and their associated teaching methods. The proposed research also aims to reflect more widely on the implications of the SA study for UK planning education; this is especially important given the recent increase in students from the Global South registering for planning-related courses in the UK.

O1: To investigate the social and economic value of planning education in SA particularly questions of equity and diversity in HE destination choices, graduation rates and employability outcomes.
O2: To deconstruct how the development and delivery of the urban planning undergraduate and postgraduate curriculum addresses issues raised by a changing post-colonial context in SA.
O3: Drawing on O2, to assess to what extent issues raised by a changing colonial context is considered and addressed in the UK undergraduate and postgraduate planning curriculum. By doing so and reflecting on lessons from O1, the research will explore the implications for urban planning lecturers in the UK when working with students from Africa and the wider Global South.
O4: To create a platform for ideas-sharing between SA academics, professionals and students across the world in order to connect and inform curriculum shaping, teaching methods and wider HE strategies for planning education (especially via SACPLAN)
O5: To develop a set of evidence-based resources for HE planning strategies that can address the Global South challenge in SA and across the wider continent.

The potential applications and benefits of the proposed research are diverse. There will be an immediate contribution to existing teaching programmes and to SACPLAN/RTPI strategies. There will also be a medium to long-term contribution through the way urban issues are dealt with in SA, what this means for planners when trained and re-trained (CPD) and for the content of planning curricula, teaching methods and thus planning policy. The main targets for dissemination of the project findings go beyond traditional academic audiences to planning practitioners, policy-makers and wider community groups. It will include the production of reports, briefing notes, good practice guides, evidence-based learning and teaching materials as well as academic papers and a book. The development of an online forum will maximise international dissemination of the project and provides long-term impact by creating a dynamic platform for debates among South African (and African) planners.",Housing & Urban; Governance & Policy; Economy & Development
"The rigorous development, implementation, and evaluation of the effectiveness and cost effectiveness of community-based interventions and policies, especially in relation to inequalities in health.The facilitation of two-way knowledge flows between r",1B887EB6-44ED-41B0-A9F5-EF8AE63425D0,MC_PC_13027,Closed,Intramural,MRC,869115,University of Glasgow,2013-08-31,2021-05-30,Stephanie Chambers,Stephanie Chambers (Co-I),"In all known societies health risks, health-related behaviours, physical and mental health, and life expectancy tend to vary between social groups. Inequalities in health exist across a range of social and demographic indicators including income, social class, occupation and parental occupation, level of education, housing condition, neighbourhood quality, geographic region, gender and ethnicity. Inequalities are evident in many health outcomes, including mortality, morbidity, self-reported health, mental health, death and injury from accidents and violence. 

There is a considerable body of research documenting trends in inequalities and examining explanations for their existence and persistence. However, there is a lack of evidence about the effectiveness and cost effectiveness of policies, programmes, and projects to improve environments, and to reduce health burdens, unhealthy behaviours, and inequalities in health. 

This award will fund four five-year postdoctoral researchers whose fellowships will focus on developing and/or implementing and evaluating community-based interventions and/or policies designed to narrow the gap between deprived and vulnerable groups and the rest of the population. A secondary aim of these fellowships is to develop much-needed multidisciplinary research skills and capacity in collaborative population health science.

It is very important that researchers study problems which are relevant to policymakers and practitioners, and ensure that the findings of their research are exchanged with these policymakers and practitioners in order to encourage uptake of any conclusions. This award will also fund a part-time knowledge broker tasked with generating early intelligence on research opportunities and policy/practitioner needs for research in particular fields, and providing two-way communications between researchers and policymakers and practitioners, in order to enhance the policy relevance of our work, and its translation into policy and practice.

This award therefore has two aims: 

• The rigorous development, implementation, and evaluation of the effectiveness and cost effectiveness of community-based interventions and policies, especially in relation to inequalities in health.
• The facilitation of two-way knowledge flows between the research in the social and public health sciences, and relevant policymakers and practitioners.",Health & Wellbeing; Governance & Policy; Inequality & Social Justice
"The social, cultural and economic impacts of the pandemic on ethnic and racialised groups in the UK",680C2946-D08F-41BE-9AD8-D8BD8C847642,ES/W000849/1,Closed,Research Grant,COVID,2287061,University of Manchester,2021-02-12,2023-08-10,Nasar Meer,Nasar Meer (Co-I),"The Covid-19 pandemic has thrown existing patterns of ethnic inequality in Britain into sharp relief, highlighting the vulnerability of ethnic and racialized communities not only in terms of poor health, but across a range of social and economic arenas. The Centre on the Dynamics of Ethnicity (CoDE) has pioneered innovative, policy relevant and impactful multi-disciplinary and mixed-methods social research on ethnic inequality since 2012. Building on this track record, and on new research on the pandemic, the programme will examine the impact of the crisis on ethnic and racialized people and communities, in the context of Brexit, an economic downturn and the increased awareness of racial inequality in the wake of the Black Lives Matters protests, and the rise of racist and anti-racist activism. 

The programme offers new insights into key policy areas highlighted as concerns as the pandemic has progressed: health inequalities and ageing populations; housing and welfare; education, employment and policing; cultural politics, activism and resilience. The projects employ innovative quantitative and qualitative methods to examine emergent forms of ethnic inequality at multiple scales, from the household and community (micro), institutional (meso), to economic and demographic change (macro). The programme includes work packages which use a survey and the new 2021 census data to explore emerging patterns of racial and ethnic disadvantage related to the pandemic. It will also track the impact of Covid-19 on both physical and mental health of racialized groups, with a focus on older and vulnerable migrant communities. This work will identify gaps in our understanding of the vulnerability of racialized groups and ethnic minorities to Covid-19 and identify routes to filling these gaps, including linking data and the need for the collection of new data. Work packages will explore the impact of austerity and Covid-19 on housing inequalities in specific places as well as tracing the impact on labour market inequalities and their routes in education. The use of algorithms in education and policing will be explored. There will also be examination of the nature of memorialising and mourning in the wake of the pandemic in the context of new forms of community and political activism. 

The projects foreground the intersection of ethnicity with divisions around migration and citizenship status; the role of gender, religion and age; local/community, regional, sub-national and national level differences; the engagement of ethnic minorities with key institutions and trust in these institutions. The programme will work in partnership with key public and private sector, government and NGO organisations to maximise the reach and impact of its work. This will include a programme of events highlighting the research, continuation of the CoDE covid briefings series and communication on social media, through mainstream media, and in blogs and the website.",Global Health; Health & Wellbeing; Inequality & Social Justice
Transforming Global Evidence: AI driven infrastructure to embed evidence synthesis in the working lives of policymakers,36EECBE8-0B4B-4D9F-BFD9-6B3AD6C2EE09,UKRI3167,Active,Research and Innovation,ESRC,9757372,QUEEN'S UNIVERSITY BELFAST,2025-09-30,2030-09-30,Gavin Stewart,Gavin Stewart (Co-I),"Aims and objectives
Billions of people could be better off if we used the evidence and research funding available more effectively.
This project will help policymakers achieve better results for less money by providing timely summaries of the state of current knowledge through a transparent scientific process known as evidence synthesis.
This work is urgently needed to help achieve the missions and priorities of all levels of UK government; to support the “rescue plan” for the Sustainable Development Goals; to help the world tackle the climate crisis; and to help individuals, businesses, and local decision makers around the world to achieve their goals. Our current inability to utilise research effectively is compromising our collective ability to develop effective policy.
Our ultimate goal is a timely, comprehensive, and reliable living evidence synthesis capability, covering all major social questions, used by policymakers and others around the world to improve people’s lives.
Approach

We will create new breakthrough AI and open data infrastructure to make evidence synthesis faster, cheaper, and more relevant to policymakers’ needs in the UK and globally. Human-AI workflows will enable us to create comprehensive, up-to-date, and accurate portals of all relevant research on a topic in ready-to-use form, offering ‘real-time’ evidence synthesis.
We will develop new research methods to tackle some of the biggest needs of policymakers using evidence synthesis: applying evidence from one context to another; answering the large-scale questions policymakers work with; and assessing and making the most of varied research, evaluation and other evidence.
We will engage with policymakers to understand their needs, and to promote evidence usability and use. We will adapt how evidence synthesis is presented, and distributed until it becomes their go-to resource. We will work in partnership with the wider evidence support systems inside and outside government.
Experienced teams of researchers and policymakers working together will deliver exemplar projects of living evidence synthesis in four areas of national and international importance: education, crime and justice, climate, environment and society, and international development.

The overall result will be an extensible and flexible infrastructure that can be applied across the whole of social science and public policy. Allied to this will be a growing network of organisations engaged in promoting and using evidence synthesis to inform decision making.
Leadership expertise
The Campbell Collaboration UK and Ireland is the ideal organisation to lead this initiative, given its pivotal role in building the intellectual and practical foundations for evidence synthesis in public policy, based on joint principles of inclusivity and reliability. The leadership team is a global partnership of synthesis leaders and infrastructure providers, experts in technology, methods, policy, and supporting evidence use. The team has a proven record in cutting edge AI for evidence synthesis and a track record of using AI to transform another global evidence sector.
Sustainability
This project is made possible by at least &pound;15m in aligned spending and a wealth of pre-existing AI software development. This includes Wellcome funding through our partner projects DESTINY and SOLACE-AI. Each exemplar project will benefit from co-investment or aligned investment.
It will become part of the global Evidence Synthesis Infrastructure Collaborative that is being co-created in an open global process facilitated by some of our group, and the plans will be revised in line with the outcomes of that process in mid-2025.",Data & Digital; Governance & Policy; Housing & Urban
Transforming Primary Care in Scotland and China to meet the needs of an ageing population - are health inequalities being tackled?,5FBA0CB5-89DA-4375-A334-884E1C5BAD7B,ES/T014164/1,Closed,Research Grant,FIC,832923,University of Edinburgh,2020-08-11,2024-07-30,Ellen Stewart,Ellen Stewart (Co-I),"Countries around the world are facing major changes, with many people living to an older age. General Practice and primary care provides much of the healthcare care needs of such ageing populations. China and the United Kingdom (UK) share many similar challenges in health and social care including ageing and wide health inequalities between rich and poor. 

In Scotland, significant recent changes have been made in primary care including a new Scotland-only GP contract which includes GP Practices working together in 'clusters' (of 5-8 Practices) to improve the quality of care delivered to their local population, and significant expansion of other members of the primary care team (such as advanced practitioners in nursing, pharmacy, and physiotherapy). 

In China, Community Health Centres (CHCs) have been established over recent years. These are similar to GP Practices in Scotland, though somewhat larger, led by GPs working within primary care teams. A key focus - which is much less prominent in Scottish primary care - is systematic preventive care to support people to live healthier lives and manage their own conditions better. There is an important opportunity for each country to learn from each other, as these changes in primary care develop further. 

The aim of the study is to explore and compare the effects of these recent changes in primary care in Scotland and China, and to find out if these changes are meeting the needs of ageing patients with long-term conditions, as well as reducing health inequalities. To answer this we will carry out the research in two phases. The first phase will explore what the expected impacts are of the changes in both countries. The second phase will examine the actual impacts and key learning. 

To answer these questions, we will use freely available national information on patients views (available in both countries), together with GPs views on job satisfaction, workload, and the recent organisational changes, which we will collect in both countries. We will also speak in-depth to staff and patients in both countries. We will do this in a range of different geographical settings to get more detailed information on their views, and analyse these in terms of common themes, and what has been found to help or hinder progress. We will supplement these findings with routine data recorded in the computerised medical records in both countries. We will then consider the implications of the findings for both countries, and share the findings with the public, government, healthcare staff, and other researchers. The findings may also be of interest to other countries that are embarking on similar attempts to improve primary care to meet the needs of ageing populations, and help tackle health inequalities. A unique feature of the research will be collaboration between researchers with different areas of expertise, in social and medical research.",Health & Wellbeing; Inequality & Social Justice; Governance & Policy
Transitions to more harmful forms of gambling during Covid-19 pandemic: behaviours and targeted marketing in young people and bettors on sport,62382B53-56D3-4C0B-B110-11E6ACF1F715,ES/V004549/1,Closed,Research Grant,COVID,469412,University of Stirling,2020-06-07,2021-12-07,Christopher Bunn; Cindy Gray; Gerda Reith; Heather Wardle,Christopher Bunn (Co-I); Cindy Gray (Co-I); Gerda Reith (Co-I); Heather Wardle (Co-I),"Around 2 million people experience some harms from gambling, and many gamble on live events (including sports) and online. The COVID-19 pandemic has precipitated unprecedented restrictions on people's movements and interactions in public and private settings, and led to the cancellation of major sports events and social activities. These consequences of the COVID-19 'lockdown' have altered the gambling landscape worldwide.

There is an urgent need to provide regulators, policy makers and treatment providers (e.g. World Health Organisation (WHO), Gambling Commission, All Party Parliamentary Group on online gambling harms) with high quality evidence on the changing patterns and context of gambling behaviours during COVID-19 and its aftermath. Insight is needed into: the actions undertaken by industry so regulators can consider immediate actions; understanding of new risk groups susceptible to gambling harms to develop effective prevention strategies; and understanding of the escalation and maintenance of harms to inform treatment and support provision.

To meet this need, we will address three major research questions across three integrated workpackages: 'How has COVID-19 changed gambling practices, and the risk factors for and experience of gambling harms?'; 'What is the effect of COVID-19 on gambling marketing?'; and 'How has COVID-19 changed high risk groups' gambling experiences and practices?'. Drawing on our extensive experience of mixed-methods research, we will focus on two groups at particular risk of adopting more risky, online gambling practices - young adults and sports bettors.

The team, jointly led by Hunt, Wardle and Critchlow, will draw on their strong network of stakeholder partnerships to ensure timely dissemination and impact.",Global Health; Health & Wellbeing; Data & Digital
Treating depressive symptomatology in Congolese Refugees in Uganda and Rwanda: Adapting and Evaluating Community-based Sociotherapy,376FBF1B-905A-470F-B026-9CDFAB443845,ES/S000976/1,Closed,Research Grant,ESRC,1008526,University of Liverpool,2018-08-31,2022-03-30,Jude Robinson,Jude Robinson (Co-I),"Refugees experience elevated rates of mental health difficulties including depression and post-traumatic stress disorder*1,2,3. Refugees face a wide-range of daily stressors (e.g. lack of access to basic resources, lack of safety and security, risk of family violence) that impact on mental health*4. Guidelines exist for delivering psychosocial support in emergency situations*5, but contention remains about which approaches are most effective, and whether these interventions can be delivered at sufficient scale*6. An absence of highly-skilled professionals means that the 'task-sharing' of roles to lay people is required*7. Community-based approaches offer promise for treating common mental disorders, are socially acceptable, and can decrease pressure on primary healthcare*8,9.

Conflict in the Democratic Republic of Congo has led to large numbers of Congolese refugees in Rwanda and Uganda. Community-based Sociotherapy (CBS) has been delivered to over 20,000 people in Rwanda since 2005 to promote community connections and individual wellbeing after the genocide of 1994*10. CBS is delivered by lay-facilitators over fifteen weekly 3-hour group sessions. The WHO described CBS as an approach that uses 'the interactions between individuals and their social environment to facilitate the re-establishment of values, norms, and relationships...and at the same time provide the opportunity for debate, the sharing of experiences and coping mechanisms'*11, Compared with usual care, CBS resulted in significantly increased civic participation and significantly decreased distress in conflict-affected people in Rwanda at 8 months follow-up*12. The UNHCR has noted the potential of CBS for refugees*13, but it has not yet been evaluated in these populations.

The project will use a mix of disciplines to: 1) adapt CBS and assessment measures for use with Congolese refugees in Rwanda and Uganda; 2) investigate the efficacy and cost-effectiveness of adapted CBS (aCBS) for reducing depressive symptoms in Congolese refugees, and determine whether changes in levels of social capital and daily stressors are integral to changes in depressive symptoms; 3) develop implementation guidance for adapting and disseminating aCBS for refugees across diverse settings in conjunction with the UNHCR.

In the first phase, the Design, Implementation, Monitoring and Evaluation (DIME) approach*14 (which utilises key informant interviews and focus groups) will be used to adapt assessment measures and aCBS content. Then a 2-arm cluster randomised controlled trial (with pilot phase) will compare aCBS to an enhanced care as usual (i.e. training for NGO workers in mental health guidelines and reviewing referral pahways). Adult Congolese refugees (apart from those with complex mental health difficulties, active suicidal ideation and/or intellectual disabilities) will be eligible to participate. This will avoid the risk of participants being stigmatised by the use of mental health labels. Analyses will take account of levels of depressive symptoms (PHQ-9*15), and whether they meet criteria for a depression on the Mini-Internal Neuropsychiatric Interview Depression Module (MINI*16) at baseline. A total of 720 participants will be recruited; 360 per study arm. Assessed outcomes will include levels of distress (SRQ-2018*17), functioning (WHOQoL-BREF*18), social capital (SASCAT*19), wellbeing (WHO-5*20), daily stressors (CDES*21), and Trauma Events Inventory*21. Participants will be assessed at baseline, 16- and 32-weeks post-baseline. A TSC/DMC will monitor the trial. The cost-effectiveness of aCBS will be evaluated. A 'process evaluation'*22 based on Normalisation Process Theory (www.normalizationprocess.org) will be undertaken to explore factors that facilitate and impede engagement with aCBS. A project webpage, Twitter account, briefings, knowledge exchange events, conference presentations and academic papers will disseminate project findings and influence decision makers.",Health & Wellbeing; Conflict & Security; Global Health
UK Collaborative Centre for Housing Evidence (CaCHE),F43E09C3-536E-4A6B-BE82-184E2873B37A,ES/P008852/1,Closed,Research Grant,ESRC,6070028,University of Glasgow,2017-07-31,2022-10-31,David Adams; David Clapham; James White; Keith Kintrea; Ken Gibb; Mark Stephens; Moira Munro,David Adams (Co-I); David Clapham (Co-I); James White (Co-I); Keith Kintrea (Co-I); Ken Gibb (PI); Mark Stephens (Co-I); Moira Munro (Co-I),"The Collaborative Centre for Housing Evidence (CaCHE) will be an independent, multi-disciplinary and multi-sector consortium of academic and non-academic stakeholders. CaCHE will be UK-wide in coverage (across all four nations and at different spatial scales within), as well as UK-level in focus. It will advance knowledge and improve the evidence base for both housing policy and practice in all parts of the U.K.

CaCHE will be organised as a &quot;hub and spoke&quot; network with its administrative core in Glasgow and a physical presence in all 5 sub-national knowledge exchange hubs in Scotland, Northern Ireland, Wales &amp; the South West, the North &amp; Midlands, and London, East &amp; South East. Additionally, our six research themes will cross cut the different geographies depending on relevancy and appropriateness. The management team will be responsible for overall strategy, operational delivery, co-ordination, data navigation, research and KE. The management team of three academics (Gibb, Watkins and Orford) will be supplemented by a senior non-academic lead on knowledge exchange and communications (Smart), plus a full time programme manager, KE and communications, administrative and technical support staff. The evidence centre and its management team will be accountable to a funders group and an international advisory board.

The main consortium members are the Universities of Glasgow, Sheffield, Bristol, Cardiff, Ulster, Reading, Sheffield Hallam, St. Andrews and Heriot-Watt, along with the National Institute of Social and Economic Research, CIH, RICS and the RTPI. The consortium has a lengthy list of institutional and individual collaborators at regional and national level and our activity will be supported 'in kind' and direct contributions from additional partners including Crisis, the Wheatley Group, NatCen, Shelter, Rightmove and several more. Our consortium also has specific project plans with four complementary ESRC investments: Urban Big Data Centre, What Works Scotland, Public Policy Institute for Wales, and the ADRC-Scotland, and will seek to collaborate with others including the What Works Centre for Wellbeing.

Initially, a five year programme, CaCHE will seek to become self-financing sustained beyond this period. It will do so by regular scanning of opportunities with partners, and by also being impactful and influential through a combination of rigorous evidencing, prioritised across six research themes, which in turn will generate a new primary research agenda to be prosecuted by the evidence centre. 

A key way in which relevance and credibility will be sustained is through the comprehensive nature and persistence of our knowledge exchange and collaborative working with non-academic stakeholders. We will repeatedly utilise an innovative collaborative working practice - the Tobin Project Process - in order to build a consensus through rigorous and intensive examination of the key questions and priorities exercising non-academic partners and our stakeholders nationally and in each region. In this way, we will co-produce our evidence review and research strategy priorities and will fully engage, mobilise and disseminate findings with academic and particularly non-academic groups through our network of networks (i.e. drawing on existing networks of contacts via our non-academic and academic partners). 

CaCHE will promote and support interdisciplinary and multidisciplinary work and invest in knowledge exchange training for staff to maximise the impact of our multiple dissemination channels: non-technical briefing, summaries, academic and trade publications, targeted technical reports, high standard non technical international evidence review, blog posts, tweets, audio and visual pod casts, roadshows, seminars, conferences, workshops and media contributions. The evidence centre will support an extensive programme of staff secondments, promoting mobility between the academy and the policy and practice communi",Housing & Urban; Governance & Policy; Data & Digital
UK Collaborative Centre for Housing Evidence (Phase 2),B443C42D-9F99-4D75-BFEF-8ED69DDF7652,ES/W012278/1,Active,Research Grant,ESRC,1172652,University of Glasgow,2022-11-01,2026-10-31,Bilge Serin; James White; Ken Gibb; Mark Stephens; Moira Munro,Bilge Serin (Co-I); James White (Co-I); Ken Gibb (PI); Mark Stephens (Co-I); Moira Munro (Co-I),"This application is for four years transitional funding, following five years initial funding from ESRC and AHRC (with Joseph Rowntree Foundation (JRF)). The UK Collaborative Centre for Housing Evidence (CaCHE) was set up to be a housing evidence centre, drawing on a range of social sciences disciplines. The original housing priority was a recognition of multiple policy and practice needs for rigorous evidence. The ongoing need for CaCHE's strategic evidence and research arises from ongoing and newly arising problems, often termed the 'housing crisis'.
 
CaCHE will retain its &quot;hub and spoke&quot; network with its administrative core in Glasgow and a physical presence in all 5 sub-national knowledge exchange hubs in Scotland, Northern Ireland, Wales &amp; the South West, the North &amp; Midlands, and London, East &amp; South East. The Centre's work will now be more focused and organised around four (not 7) themes (economy, environment, inequalities and place). The management team will be responsible for overall strategy, operational delivery, co- ordination, data navigation, research and KE. Meeting monthly, the executive team of three academics (Gibb, Watkins and White) will be supplemented by a senior non-academic lead on knowledge exchange and communications (Williamson), plus a full-time programme manager, KE and communications, and administrative support staff. A wider management team will meet at least every three months and involve theme and cross cutting work strand leads as well (Marsh, Stephens, Orford, Payne, Leishman, Robinson, Preece, O'Brien and Ambrose).There will be further CI input into themes by Blair, Munro, and Serin. CaCHE will remain accountable to a funders group and an international advisory board (as well as reporting annually to the key Research Organisations). 

The main consortium members are the Universities of Glasgow and Sheffield, plus the Chartered Institute of Housing. There are also contributions from the Universities of Bristol, Cardiff, Sheffield Hallam, Ulster and South Australia. The consortium has a lengthy list of institutional and individual collaborators at regional and national level and our activity will be supported 'in kind' and by direct contributions working through the KE Hub structure including Crisis, Centre for Homelessness Impact and HQN and several more. Our consortium also has specific project plans with complementary ESRC investments: e.g. Urban Big Data Centre, CDRC, White Rose Social Sciences DTP

The programme of work proposed for CaCHE2 combines what worked well in CacHE1 as well as lessons learned, alongside a refreshed agenda reflecting housing system developments since 2017. It is also takes account of the implications of transitional funding for what was a large consortium. CaCHE2 is necessarily smaller in breadth and participants but also is more focused in terms of themes and work packages. This places an additional premium on the relevance and significance of those work priorities. CaCHE2 also embraces the strategic commitment research organisations are providing for the team and seeking therefore to develop a sustainable funding model by prioritising new external partnership and leveraged agile bidding for new responsive and proactive research opportunities that cohere with CaCHE's fundamental aims. In all of the work CaCHE2 will seek to continue to maximise the social and economic impact that the work has for research users. It does this by both refocusing on specific project impact plans and established CaCHE networking and communications, but additionally continuing with successful KE programmes such as the Policy Fellows scheme, the PhD summer school and a greater emphasis on policy and practice briefings, blogging, video and podcasts.",Housing & Urban; Governance & Policy; Data & Digital
